n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,7,3,0.8,0.8,1,347
100,0.01,7,3,0.9,0.8,10,246
100,0.01,6,3,0.9,0.8,100,202
100,0.01,4,4,0.8,0.9,1,304
100,0.01,7,3,0.8,0.9,7,373
100,0.01,1,3,0.9,0.9,100,463
100,0.01,7,3,0.8,0.9,0,309
100,0.01,5,7,0.9,0.9,1,386
100,0.01,1,3,0.9,0.8,5,376
100,0.01,7,3,0.9,0.8,1,279
100,0.01,1,3,0.8,0.8,50,404
100,0.01,6,3,0.9,0.9,5,443
100,0.01,2,3,0.9,0.9,50,369
100,0.01,7,3,0.8,0.9,10,218
100,0.01,6,4,0.8,0.8,75,409
100,0.01,1,3,0.9,0.9,0,294
100,0.01,6,3,0.9,0.8,10,419
100,0.01,7,3,0.8,0.9,3,397
100,0.01,4,3,0.9,0.9,25,484
100,0.01,5,3,0.8,0.9,10,451
100,0.01,3,3,0.9,0.9,5,383
100,0.01,7,6,0.8,0.9,10,498
100,0.01,7,5,0.9,0.9,100,678
100,0.01,2,3,0.9,0.9,50,466
100,0.01,7,7,0.9,0.8,100,657
100,0.01,4,3,0.9,0.8,10,412
100,0.01,1,3,0.8,0.8,100,410
100,0.01,7,4,0.8,0.9,25,306
100,0.01,7,3,0.9,0.9,10,394
100,0.01,3,3,0.9,0.9,7,312
100,0.01,1,8,0.9,0.8,1,314
100,0.01,1,3,0.9,0.9,1,631
100,0.01,1,3,0.9,0.9,100,657
100,0.01,1,3,0.9,0.8,100,629
100,0.01,1,3,0.9,0.8,50,681
100,0.01,1,3,0.9,0.9,100,798
100,0.01,2,3,0.8,0.9,50,398
100,0.01,7,3,0.9,0.8,75,386
100,0.01,7,5,0.9,0.9,10,741
100,0.01,7,3,0.8,0.8,100,285
100,0.01,5,3,0.9,0.8,7,398
100,0.01,4,3,0.9,0.9,1,228
100,0.01,6,4,0.9,0.9,3,449
100,0.01,6,5,0.8,0.9,1,353
100,0.01,7,3,0.9,0.8,25,476
100,0.01,2,3,0.9,0.9,50,368
100,0.01,4,3,0.8,0.8,3,349
100,0.01,6,3,0.8,0.9,100,444
100,0.01,1,3,0.9,0.9,25,483
100,0.01,5,5,0.9,0.8,0,460
100,0.01,6,7,0.9,0.9,100,692
100,0.01,2,6,0.9,0.8,75,680
100,0.01,5,3,0.9,0.8,10,257
100,0.01,1,3,0.8,0.9,75,389
100,0.01,7,4,0.9,0.9,75,570
100,0.01,3,3,0.8,0.9,25,581
100,0.01,5,4,0.9,0.8,3,381
100,0.01,1,3,0.8,0.9,50,642
100,0.01,7,7,0.9,0.9,25,780
100,0.01,5,3,0.8,0.9,75,318
100,0.01,7,3,0.8,0.8,5,355
100,0.01,6,3,0.9,0.9,7,352
100,0.01,1,3,0.9,0.9,0,302
100,0.01,1,3,0.8,0.8,7,373
100,0.01,5,3,0.9,0.9,1,259
100,0.01,5,3,0.9,0.9,10,424
100,0.01,7,3,0.9,0.8,0,250
100,0.01,4,3,0.8,0.9,7,340
100,0.01,2,3,0.8,0.8,50,372
100,0.01,7,3,0.8,0.8,100,545
100,0.01,7,3,0.8,0.9,7,368
100,0.01,5,4,0.8,0.9,100,557
100,0.01,6,3,0.9,0.8,5,370
100,0.01,3,5,0.9,0.9,3,500
100,0.01,5,3,0.9,0.9,100,373
100,0.01,7,3,0.9,0.8,5,389
100,0.01,4,3,0.9,0.9,25,489
100,0.01,6,3,0.9,0.8,75,491
100,0.01,5,4,0.9,0.8,25,450
100,0.01,6,3,0.8,0.9,50,339
100,0.01,5,3,0.9,0.8,3,410
100,0.01,1,3,0.9,0.9,10,380
100,0.01,7,3,0.9,0.8,25,323
100,0.01,3,3,0.9,0.9,75,400
100,0.01,1,3,0.9,0.8,10,529
100,0.01,7,3,0.9,0.8,100,434
100,0.01,3,3,0.8,0.9,100,350
100,0.01,7,3,0.8,0.9,100,266
100,0.01,7,3,0.9,0.8,50,422
100,0.01,6,3,0.9,0.8,10,273
100,0.01,5,3,0.8,0.8,3,386
100,0.01,6,3,0.9,0.9,50,350
100,0.01,7,5,0.9,0.8,0,2107
100,0.01,7,3,0.8,0.9,3,395
100,0.01,6,3,0.8,0.9,0,203
100,0.01,1,3,0.9,0.8,0,331
100,0.01,4,3,0.9,0.9,25,522
100,0.01,7,3,0.8,0.8,0,273
100,0.01,1,3,0.9,0.8,1,385
100,0.01,6,3,0.8,0.8,10,407
