n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample
100,0.03,5,5,0.9,0.8
100,0.03,1,4,0.9,0.9
100,0.03,4,5,0.8,0.9
100,0.03,2,4,0.9,0.8
100,0.03,3,8,0.8,0.8
100,0.03,2,8,0.8,0.8
100,0.03,4,7,0.9,0.9
100,0.03,7,6,0.8,0.9
100,0.03,1,7,0.8,0.8
100,0.03,1,3,0.9,0.8
100,0.03,2,6,0.8,0.8
100,0.03,3,5,0.8,0.8
100,0.03,2,3,0.8,0.8
100,0.03,6,3,0.9,0.8
100,0.03,3,7,0.8,0.8
100,0.03,1,5,0.8,0.9
100,0.03,2,5,0.9,0.8
100,0.03,1,4,0.8,0.8
100,0.03,1,6,0.9,0.8
100,0.03,3,5,0.9,0.9
100,0.03,6,4,0.8,0.8
100,0.03,3,3,0.9,0.9
100,0.03,1,3,0.8,0.8
100,0.03,6,7,0.8,0.8
100,0.03,3,5,0.9,0.9
100,0.03,1,6,0.8,0.9
100,0.03,1,6,0.8,0.8
100,0.03,1,5,0.9,0.8
100,0.03,3,4,0.8,0.8
100,0.03,7,6,0.9,0.9
100,0.03,1,5,0.8,0.9
100,0.03,2,6,0.9,0.9
100,0.03,6,3,0.8,0.8
100,0.03,1,6,0.8,0.8
100,0.03,6,5,0.9,0.8
100,0.03,4,3,0.9,0.9
100,0.03,4,5,0.9,0.8
100,0.03,4,3,0.9,0.8
100,0.03,3,6,0.8,0.9
100,0.03,4,4,0.8,0.9
100,0.03,7,5,0.9,0.9
100,0.03,2,4,0.9,0.8
100,0.03,1,5,0.9,0.9
100,0.03,6,7,0.8,0.9
100,0.03,7,4,0.8,0.9
100,0.03,2,6,0.8,0.8
100,0.03,7,8,0.8,0.9
100,0.03,1,5,0.8,0.8
100,0.03,1,7,0.8,0.8
100,0.03,1,7,0.8,0.9
100,0.03,2,7,0.8,0.8
100,0.03,2,5,0.9,0.8
100,0.03,2,6,0.9,0.9
100,0.03,6,7,0.9,0.8
100,0.03,7,4,0.8,0.8
100,0.03,4,5,0.8,0.9
100,0.03,4,6,0.8,0.8
100,0.03,3,3,0.8,0.9
100,0.03,7,6,0.9,0.8
100,0.03,2,5,0.8,0.9
100,0.03,5,7,0.9,0.9
100,0.03,6,6,0.8,0.9
100,0.03,4,7,0.8,0.8
100,0.03,1,5,0.8,0.8
100,0.03,7,8,0.8,0.8
100,0.03,2,8,0.9,0.9
100,0.03,7,8,0.9,0.8
100,0.03,5,8,0.8,0.9
100,0.03,1,7,0.8,0.8
100,0.03,7,6,0.8,0.9
100,0.03,1,7,0.8,0.9
100,0.03,5,7,0.8,0.8
100,0.03,7,5,0.8,0.9
100,0.03,7,6,0.8,0.8
100,0.03,6,3,0.9,0.9
100,0.03,6,7,0.8,0.8
100,0.03,1,5,0.9,0.9
100,0.03,1,5,0.8,0.9
100,0.03,4,6,0.8,0.8
100,0.03,7,6,0.8,0.8
100,0.03,4,8,0.9,0.9
100,0.03,3,6,0.9,0.9
100,0.03,1,5,0.9,0.9
100,0.03,3,7,0.8,0.8
100,0.03,6,6,0.8,0.9
100,0.03,3,3,0.8,0.9
100,0.03,6,6,0.9,0.8
100,0.03,5,3,0.9,0.8
100,0.03,7,5,0.8,0.9
100,0.03,1,7,0.8,0.9
100,0.03,7,4,0.8,0.8
100,0.03,2,3,0.9,0.8
100,0.03,2,6,0.9,0.8
100,0.03,2,6,0.8,0.8
100,0.03,6,6,0.8,0.8
100,0.03,2,5,0.8,0.8
100,0.03,4,7,0.8,0.8
100,0.03,4,4,0.9,0.8
100,0.03,1,6,0.8,0.8
100,0.03,3,5,0.9,0.8
