n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,1,3,0.9,0.9,50,929
100,0.01,5,3,0.8,0.9,100,534
100,0.01,6,3,0.9,0.9,10,430
100,0.01,7,7,0.9,0.8,50,320
100,0.01,3,6,0.9,0.9,75,441
100,0.01,5,3,0.8,0.9,100,473
100,0.01,7,4,0.8,0.8,100,614
100,0.01,7,6,0.8,0.9,100,754
100,0.01,7,3,0.9,0.8,100,650
100,0.01,3,5,0.9,0.9,100,379
100,0.01,7,5,0.9,0.9,5,279
100,0.01,7,6,0.9,0.9,5,435
100,0.01,6,3,0.8,0.9,100,538
100,0.01,1,5,0.8,0.9,75,439
100,0.01,6,6,0.8,0.9,0,326
100,0.01,1,3,0.8,0.8,100,617
100,0.01,7,3,0.8,0.9,100,428
100,0.01,7,4,0.8,0.9,5,395
100,0.01,1,4,0.9,0.9,50,384
100,0.01,1,8,0.9,0.9,0,797
100,0.01,1,4,0.9,0.9,100,876
100,0.01,7,3,0.8,0.9,100,544
100,0.01,4,4,0.8,0.8,100,592
100,0.01,1,3,0.9,0.9,100,722
100,0.01,7,5,0.8,0.8,100,540
100,0.01,7,3,0.8,0.9,75,503
100,0.01,5,3,0.8,0.9,100,403
100,0.01,3,6,0.9,0.9,100,328
100,0.01,7,7,0.9,0.9,0,312
100,0.01,5,4,0.9,0.9,5,362
100,0.01,3,3,0.9,0.9,75,922
100,0.01,1,3,0.8,0.9,100,694
100,0.01,1,3,0.8,0.9,50,954
100,0.01,6,3,0.9,0.9,10,249
100,0.01,7,4,0.8,0.8,100,468
100,0.01,7,3,0.9,0.9,100,906
100,0.01,7,3,0.8,0.9,100,516
100,0.01,1,4,0.8,0.9,100,737
100,0.01,1,5,0.9,0.9,10,2053
100,0.01,7,4,0.9,0.9,7,320
100,0.01,2,6,0.9,0.9,10,400
100,0.01,6,8,0.9,0.9,3,256
100,0.01,7,4,0.8,0.9,50,549
100,0.01,7,4,0.9,0.9,100,673
100,0.01,6,4,0.9,0.9,100,365
100,0.01,7,3,0.8,0.9,75,471
100,0.01,7,3,0.8,0.8,100,575
100,0.01,7,5,0.8,0.9,100,575
100,0.01,3,5,0.9,0.9,100,796
100,0.01,7,4,0.9,0.9,50,740
100,0.01,1,3,0.9,0.9,3,430
100,0.01,7,5,0.8,0.8,25,791
100,0.01,1,3,0.8,0.9,100,459
100,0.01,5,3,0.8,0.8,100,676
100,0.01,7,3,0.8,0.8,100,474
100,0.01,7,3,0.8,0.9,100,503
100,0.01,7,3,0.8,0.8,100,468
100,0.01,7,3,0.8,0.9,50,439
100,0.01,5,7,0.9,0.9,0,252
100,0.01,1,5,0.9,0.9,5,402
